,CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
218,438,3355.631092,1.0,242.88,0.0,242.88,0.0,1.0,0.0,1.0,0.0,0.0,12.0,13500.0,6084.115091,890.639118,0.090909,12.0
220,442,38.91624,1.0,358.49,0.0,358.49,188.234434,0.916667,0.0,0.833333,0.083333,1.0,11.0,2500.0,479.607061,141.652641,0.3,12.0
872,1746,3092.948987,1.0,1132.03,1038.75,93.28,3988.939447,0.833333,0.25,0.583333,0.666667,25.0,19.0,7000.0,889.901799,883.612427,0.0,12.0
1475,2952,1.533981,0.545455,141.56,0.0,141.56,0.0,0.5,0.0,0.5,0.0,0.0,6.0,4000.0,248.103302,44.570781,1.0,12.0
1544,3090,1562.633343,1.0,1330.62,1169.63,160.99,0.0,0.5,0.166667,0.25,0.0,0.0,8.0,2000.0,1020.783647,709.610053,0.0,12.0
1872,3746,475.826042,1.0,950.0,950.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0.0,1.0,4500.0,118.53066,290.333335,0.0,12.0
2553,5108,751.22482,1.0,1000.0,0.0,1000.0,0.0,0.416667,0.0,0.333333,0.0,0.0,5.0,1700.0,2025.267591,319.173449,0.083333,12.0
2558,5118,55.147722,0.875,163.31,0.0,163.31,0.0,0.875,0.0,0.75,0.0,0.0,7.0,1000.0,62.619008,109.580539,0.0,8.0
2926,5854,2932.111796,1.0,346.32,346.32,0.0,2631.304016,0.333333,0.333333,0.0,0.333333,10.0,9.0,6000.0,597.5143,784.577784,0.0,12.0
4042,8086,101.936878,1.0,888.96,0.0,888.96,0.0,1.0,0.0,1.0,0.0,0.0,12.0,2000.0,790.509043,179.636117,0.833333,12.0
